;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 15/04/2022 18:39:38
;----------------------------------------------

;Address Opcode 	ASM
0x09CF	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,94 :: 		
0x09D0	0x1288      	BCF        LCD_RS, BitPos(LCD_RS+0)
;__Lib_Lcd.c,95 :: 		
0x09D1	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,96 :: 		
0x09D2	0x1108      	BCF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,97 :: 		
0x09D3	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,98 :: 		
0x09D4	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,100 :: 		
0x09D5	0x118A      	BCF        PCLATH, 3
0x09D6	0x2125      	CALL       _Delay_5500us
0x09D7	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,101 :: 		
0x09D8	0x118A      	BCF        PCLATH, 3
0x09D9	0x2125      	CALL       _Delay_5500us
0x09DA	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,102 :: 		
0x09DB	0x118A      	BCF        PCLATH, 3
0x09DC	0x2125      	CALL       _Delay_5500us
0x09DD	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,105 :: 		
0x09DE	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,106 :: 		
0x09DF	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,107 :: 		
0x09E0	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,108 :: 		
0x09E1	0x118A      	BCF        PCLATH, 3
0x09E2	0x2139      	CALL       _Delay_1us
0x09E3	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,109 :: 		
0x09E4	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,110 :: 		
0x09E5	0x118A      	BCF        PCLATH, 3
0x09E6	0x2125      	CALL       _Delay_5500us
0x09E7	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,112 :: 		
0x09E8	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,113 :: 		
0x09E9	0x118A      	BCF        PCLATH, 3
0x09EA	0x2139      	CALL       _Delay_1us
0x09EB	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,114 :: 		
0x09EC	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,115 :: 		
0x09ED	0x118A      	BCF        PCLATH, 3
0x09EE	0x2125      	CALL       _Delay_5500us
0x09EF	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,117 :: 		
0x09F0	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,118 :: 		
0x09F1	0x118A      	BCF        PCLATH, 3
0x09F2	0x2139      	CALL       _Delay_1us
0x09F3	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,119 :: 		
0x09F4	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,120 :: 		
0x09F5	0x118A      	BCF        PCLATH, 3
0x09F6	0x2125      	CALL       _Delay_5500us
0x09F7	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,123 :: 		
0x09F8	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,124 :: 		
0x09F9	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,125 :: 		
0x09FA	0x118A      	BCF        PCLATH, 3
0x09FB	0x2139      	CALL       _Delay_1us
0x09FC	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,126 :: 		
0x09FD	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,127 :: 		
0x09FE	0x118A      	BCF        PCLATH, 3
0x09FF	0x2125      	CALL       _Delay_5500us
0x0A00	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,130 :: 		
0x0A01	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,131 :: 		
0x0A02	0x118A      	BCF        PCLATH, 3
0x0A03	0x2139      	CALL       _Delay_1us
0x0A04	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,132 :: 		
0x0A05	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,134 :: 		
0x0A06	0x1088      	BCF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,135 :: 		
0x0A07	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,136 :: 		
0x0A08	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,137 :: 		
0x0A09	0x118A      	BCF        PCLATH, 3
0x0A0A	0x2139      	CALL       _Delay_1us
0x0A0B	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,138 :: 		
0x0A0C	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,139 :: 		
0x0A0D	0x118A      	BCF        PCLATH, 3
0x0A0E	0x2125      	CALL       _Delay_5500us
0x0A0F	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,142 :: 		
0x0A10	0x1188      	BCF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,143 :: 		
0x0A11	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,144 :: 		
0x0A12	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,145 :: 		
0x0A13	0x118A      	BCF        PCLATH, 3
0x0A14	0x2139      	CALL       _Delay_1us
0x0A15	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,146 :: 		
0x0A16	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,148 :: 		
0x0A17	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,149 :: 		
0x0A18	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,150 :: 		
0x0A19	0x118A      	BCF        PCLATH, 3
0x0A1A	0x2139      	CALL       _Delay_1us
0x0A1B	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,151 :: 		
0x0A1C	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,152 :: 		
0x0A1D	0x118A      	BCF        PCLATH, 3
0x0A1E	0x2125      	CALL       _Delay_5500us
0x0A1F	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,155 :: 		
0x0A20	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,156 :: 		
0x0A21	0x118A      	BCF        PCLATH, 3
0x0A22	0x2139      	CALL       _Delay_1us
0x0A23	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,157 :: 		
0x0A24	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,159 :: 		
0x0A25	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,160 :: 		
0x0A26	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,161 :: 		
0x0A27	0x118A      	BCF        PCLATH, 3
0x0A28	0x2139      	CALL       _Delay_1us
0x0A29	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,162 :: 		
0x0A2A	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,163 :: 		
0x0A2B	0x118A      	BCF        PCLATH, 3
0x0A2C	0x2125      	CALL       _Delay_5500us
0x0A2D	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,166 :: 		
0x0A2E	0x1008      	BCF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,167 :: 		
0x0A2F	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,168 :: 		
0x0A30	0x118A      	BCF        PCLATH, 3
0x0A31	0x2139      	CALL       _Delay_1us
0x0A32	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,169 :: 		
0x0A33	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,171 :: 		
0x0A34	0x1588      	BSF        LCD_D7, BitPos(LCD_D7+0)
;__Lib_Lcd.c,172 :: 		
0x0A35	0x1508      	BSF        LCD_D6, BitPos(LCD_D6+0)
;__Lib_Lcd.c,173 :: 		
0x0A36	0x1488      	BSF        LCD_D5, BitPos(LCD_D5+0)
;__Lib_Lcd.c,174 :: 		
0x0A37	0x1408      	BSF        LCD_D4, BitPos(LCD_D4+0)
;__Lib_Lcd.c,175 :: 		
0x0A38	0x1608      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,176 :: 		
0x0A39	0x118A      	BCF        PCLATH, 3
0x0A3A	0x2139      	CALL       _Delay_1us
0x0A3B	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,177 :: 		
0x0A3C	0x1208      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,179 :: 		
0x0A3D	0x118A      	BCF        PCLATH, 3
0x0A3E	0x2125      	CALL       _Delay_5500us
0x0A3F	0x158A      	BSF        PCLATH, 3
;__Lib_Lcd.c,181 :: 		
0x0A40	0x1683      	BSF        STATUS, 5
0x0A41	0x1422      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,182 :: 		
L_end_Lcd_Init:
0x0A42	0x0008      	RETURN
; end of _Lcd_Init
_main:
0x0A43	0x118A      	BCF        PCLATH, 3
0x0A44	0x27F2      	CALL       2034
0x0A45	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,28 :: 		void main() {
;MicroAlzaiemer.c,31 :: 		Sound_init(& portc,3);
0x0A46	0x3007      	MOVLW      PORTC
0x0A47	0x1683      	BSF        STATUS, 5
0x0A48	0x1303      	BCF        STATUS, 6
0x0A49	0x00C0      	MOVWF      FARG_Sound_Init_snd_port
0x0A4A	0x3003      	MOVLW      3
0x0A4B	0x00C1      	MOVWF      FARG_Sound_Init_snd_pin
0x0A4C	0x214C      	CALL       _Sound_Init
;MicroAlzaiemer.c,32 :: 		TRISB=0XF1;
0x0A4D	0x30F1      	MOVLW      241
0x0A4E	0x0086      	MOVWF      TRISB
;MicroAlzaiemer.c,33 :: 		TRISC=0;
0x0A4F	0x0187      	CLRF       TRISC
;MicroAlzaiemer.c,34 :: 		TRISD=0;
0x0A50	0x0188      	CLRF       TRISD
;MicroAlzaiemer.c,35 :: 		TRISA=0;
0x0A51	0x0185      	CLRF       TRISA
;MicroAlzaiemer.c,36 :: 		INTCON.GIE=1;// utiliser interruption
0x0A52	0x178B      	BSF        INTCON, 7
;MicroAlzaiemer.c,37 :: 		INTCON.RBIE=1; //PORTB src interruption
0x0A53	0x158B      	BSF        INTCON, 3
;MicroAlzaiemer.c,41 :: 		INTCON.INTE=1;
0x0A54	0x160B      	BSF        INTCON, 4
;MicroAlzaiemer.c,42 :: 		option_reg.intedg=1;//RB0 transition de 0 a 1
0x0A55	0x1701      	BSF        OPTION_REG, 6
;MicroAlzaiemer.c,46 :: 		Lcd_Init();                        // Initialize LCD
0x0A56	0x21C6      	CALL       _Lcd_Init
;MicroAlzaiemer.c,48 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x0A57	0x3001      	MOVLW      1
0x0A58	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0A59	0x118A      	BCF        PCLATH, 3
0x0A5A	0x214C      	CALL       _Lcd_Cmd
0x0A5B	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,49 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x0A5C	0x300C      	MOVLW      12
0x0A5D	0x1683      	BSF        STATUS, 5
0x0A5E	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0A5F	0x118A      	BCF        PCLATH, 3
0x0A60	0x214C      	CALL       _Lcd_Cmd
0x0A61	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,50 :: 		Lcd_Out(1,1,"Anti Alzaimer SYS:");                 // Write text in first row
0x0A62	0x3001      	MOVLW      1
0x0A63	0x1683      	BSF        STATUS, 5
0x0A64	0x00C0      	MOVWF      FARG_Lcd_Out_row
0x0A65	0x3001      	MOVLW      1
0x0A66	0x00C1      	MOVWF      FARG_Lcd_Out_column
0x0A67	0x304E      	MOVLW      ?lstr1_MicroAlzaiemer
0x0A68	0x00C2      	MOVWF      FARG_Lcd_Out_text
0x0A69	0x2169      	CALL       _Lcd_Out
;MicroAlzaiemer.c,53 :: 		Delay_ms(1000);
0x0A6A	0x300B      	MOVLW      11
0x0A6B	0x00FB      	MOVWF      R11
0x0A6C	0x3026      	MOVLW      38
0x0A6D	0x00FC      	MOVWF      R12
0x0A6E	0x305D      	MOVLW      93
0x0A6F	0x00FD      	MOVWF      R13
L_main0:
0x0A70	0x0BFD      	DECFSZ     R13, 1
0x0A71	0x2A70      	GOTO       L_main0
0x0A72	0x0BFC      	DECFSZ     R12, 1
0x0A73	0x2A70      	GOTO       L_main0
0x0A74	0x0BFB      	DECFSZ     R11, 1
0x0A75	0x2A70      	GOTO       L_main0
0x0A76	0x0000      	NOP
0x0A77	0x0000      	NOP
;MicroAlzaiemer.c,54 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0A78	0x3001      	MOVLW      1
0x0A79	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0A7A	0x118A      	BCF        PCLATH, 3
0x0A7B	0x214C      	CALL       _Lcd_Cmd
0x0A7C	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,55 :: 		Delay_ms(2000);
0x0A7D	0x3015      	MOVLW      21
0x0A7E	0x00FB      	MOVWF      R11
0x0A7F	0x304B      	MOVLW      75
0x0A80	0x00FC      	MOVWF      R12
0x0A81	0x30BE      	MOVLW      190
0x0A82	0x00FD      	MOVWF      R13
L_main1:
0x0A83	0x0BFD      	DECFSZ     R13, 1
0x0A84	0x2A83      	GOTO       L_main1
0x0A85	0x0BFC      	DECFSZ     R12, 1
0x0A86	0x2A83      	GOTO       L_main1
0x0A87	0x0BFB      	DECFSZ     R11, 1
0x0A88	0x2A83      	GOTO       L_main1
0x0A89	0x0000      	NOP
;MicroAlzaiemer.c,56 :: 		Lcd_Out(1,1,"have a good Time !!!");
0x0A8A	0x3001      	MOVLW      1
0x0A8B	0x1683      	BSF        STATUS, 5
0x0A8C	0x00C0      	MOVWF      FARG_Lcd_Out_row
0x0A8D	0x3001      	MOVLW      1
0x0A8E	0x00C1      	MOVWF      FARG_Lcd_Out_column
0x0A8F	0x3030      	MOVLW      ?lstr2_MicroAlzaiemer
0x0A90	0x00C2      	MOVWF      FARG_Lcd_Out_text
0x0A91	0x2169      	CALL       _Lcd_Out
;MicroAlzaiemer.c,57 :: 		Delay_ms(2000);
0x0A92	0x3015      	MOVLW      21
0x0A93	0x00FB      	MOVWF      R11
0x0A94	0x304B      	MOVLW      75
0x0A95	0x00FC      	MOVWF      R12
0x0A96	0x30BE      	MOVLW      190
0x0A97	0x00FD      	MOVWF      R13
L_main2:
0x0A98	0x0BFD      	DECFSZ     R13, 1
0x0A99	0x2A98      	GOTO       L_main2
0x0A9A	0x0BFC      	DECFSZ     R12, 1
0x0A9B	0x2A98      	GOTO       L_main2
0x0A9C	0x0BFB      	DECFSZ     R11, 1
0x0A9D	0x2A98      	GOTO       L_main2
0x0A9E	0x0000      	NOP
;MicroAlzaiemer.c,58 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0A9F	0x3001      	MOVLW      1
0x0AA0	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0AA1	0x118A      	BCF        PCLATH, 3
0x0AA2	0x214C      	CALL       _Lcd_Cmd
0x0AA3	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,60 :: 		Lcd_Out(1,1,txt1);
0x0AA4	0x3001      	MOVLW      1
0x0AA5	0x1683      	BSF        STATUS, 5
0x0AA6	0x00C0      	MOVWF      FARG_Lcd_Out_row
0x0AA7	0x3001      	MOVLW      1
0x0AA8	0x00C1      	MOVWF      FARG_Lcd_Out_column
0x0AA9	0x3047      	MOVLW      _txt1
0x0AAA	0x00C2      	MOVWF      FARG_Lcd_Out_text
0x0AAB	0x2169      	CALL       _Lcd_Out
;MicroAlzaiemer.c,61 :: 		Lcd_Chr(2,8,233);
0x0AAC	0x3002      	MOVLW      2
0x0AAD	0x00C0      	MOVWF      FARG_Lcd_Chr_row
0x0AAE	0x3008      	MOVLW      8
0x0AAF	0x00C1      	MOVWF      FARG_Lcd_Chr_column
0x0AB0	0x30E9      	MOVLW      233
0x0AB1	0x00C2      	MOVWF      FARG_Lcd_Chr_out_char
0x0AB2	0x2000      	CALL       _Lcd_Chr
;MicroAlzaiemer.c,63 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0AB3	0x3001      	MOVLW      1
0x0AB4	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0AB5	0x118A      	BCF        PCLATH, 3
0x0AB6	0x214C      	CALL       _Lcd_Cmd
0x0AB7	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,65 :: 		Lcd_Out(1,1,txt1);
0x0AB8	0x3001      	MOVLW      1
0x0AB9	0x1683      	BSF        STATUS, 5
0x0ABA	0x00C0      	MOVWF      FARG_Lcd_Out_row
0x0ABB	0x3001      	MOVLW      1
0x0ABC	0x00C1      	MOVWF      FARG_Lcd_Out_column
0x0ABD	0x3047      	MOVLW      _txt1
0x0ABE	0x00C2      	MOVWF      FARG_Lcd_Out_text
0x0ABF	0x2169      	CALL       _Lcd_Out
;MicroAlzaiemer.c,67 :: 		Delay_ms(1000);
0x0AC0	0x300B      	MOVLW      11
0x0AC1	0x00FB      	MOVWF      R11
0x0AC2	0x3026      	MOVLW      38
0x0AC3	0x00FC      	MOVWF      R12
0x0AC4	0x305D      	MOVLW      93
0x0AC5	0x00FD      	MOVWF      R13
L_main3:
0x0AC6	0x0BFD      	DECFSZ     R13, 1
0x0AC7	0x2AC6      	GOTO       L_main3
0x0AC8	0x0BFC      	DECFSZ     R12, 1
0x0AC9	0x2AC6      	GOTO       L_main3
0x0ACA	0x0BFB      	DECFSZ     R11, 1
0x0ACB	0x2AC6      	GOTO       L_main3
0x0ACC	0x0000      	NOP
0x0ACD	0x0000      	NOP
;MicroAlzaiemer.c,70 :: 		ADCON1=0x0E;  //mettre tous les pines analogiques comme digital except ANO
0x0ACE	0x300E      	MOVLW      14
0x0ACF	0x009F      	MOVWF      ADCON1
;MicroAlzaiemer.c,75 :: 		TRISA.RA0=1; //RA0 comme entree
0x0AD0	0x1405      	BSF        TRISA, 0
;MicroAlzaiemer.c,77 :: 		ADC_Init();  //initialiser ADC
0x0AD1	0x203B      	CALL       _ADC_Init
;MicroAlzaiemer.c,79 :: 		Lcd_Init();                        // Initialize LCD
0x0AD2	0x21C6      	CALL       _Lcd_Init
;MicroAlzaiemer.c,81 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x0AD3	0x3001      	MOVLW      1
0x0AD4	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0AD5	0x118A      	BCF        PCLATH, 3
0x0AD6	0x214C      	CALL       _Lcd_Cmd
0x0AD7	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,82 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x0AD8	0x300C      	MOVLW      12
0x0AD9	0x1683      	BSF        STATUS, 5
0x0ADA	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0ADB	0x118A      	BCF        PCLATH, 3
0x0ADC	0x214C      	CALL       _Lcd_Cmd
0x0ADD	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,84 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x0ADE	0x3001      	MOVLW      1
0x0ADF	0x1683      	BSF        STATUS, 5
0x0AE0	0x00CF      	MOVWF      FARG_Lcd_Cmd_out_char
0x0AE1	0x118A      	BCF        PCLATH, 3
0x0AE2	0x214C      	CALL       _Lcd_Cmd
0x0AE3	0x158A      	BSF        PCLATH, 3
;MicroAlzaiemer.c,86 :: 		Lcd_Out(1,1,txt1);
0x0AE4	0x3001      	MOVLW      1
0x0AE5	0x1683      	BSF        STATUS, 5
0x0AE6	0x00C0      	MOVWF      FARG_Lcd_Out_row
0x0AE7	0x3001      	MOVLW      1
0x0AE8	0x00C1      	MOVWF      FARG_Lcd_Out_column
0x0AE9	0x3047      	MOVLW      _txt1
0x0AEA	0x00C2      	MOVWF      FARG_Lcd_Out_text
0x0AEB	0x2169      	CALL       _Lcd_Out
;MicroAlzaiemer.c,87 :: 		Lcd_Chr(2,8,233);
0x0AEC	0x3002      	MOVLW      2
0x0AED	0x00C0      	MOVWF      FARG_Lcd_Chr_row
0x0AEE	0x3008      	MOVLW      8
0x0AEF	0x00C1      	MOVWF      FARG_Lcd_Chr_column
0x0AF0	0x30E9      	MOVLW      233
0x0AF1	0x00C2      	MOVWF      FARG_Lcd_Chr_out_char
0x0AF2	0x2000      	CALL       _Lcd_Chr
;MicroAlzaiemer.c,88 :: 		Lcd_Chr(2,9,'C'); //ecrire 'C' comme celsuse
0x0AF3	0x3002      	MOVLW      2
0x0AF4	0x00C0      	MOVWF      FARG_Lcd_Chr_row
0x0AF5	0x3009      	MOVLW      9
0x0AF6	0x00C1      	MOVWF      FARG_Lcd_Chr_column
0x0AF7	0x3043      	MOVLW      67
0x0AF8	0x00C2      	MOVWF      FARG_Lcd_Chr_out_char
0x0AF9	0x2000      	CALL       _Lcd_Chr
;MicroAlzaiemer.c,90 :: 		temperature =0;
0x0AFA	0x1283      	BCF        STATUS, 5
0x0AFB	0x01C5      	CLRF       _temperature
0x0AFC	0x01C6      	CLRF       _temperature+1
;MicroAlzaiemer.c,91 :: 		do {
L_main4:
;MicroAlzaiemer.c,92 :: 		temperature=ADC_Read(0);//recuperer 10-bit resultante du AD conversions
0x0AFD	0x1683      	BSF        STATUS, 5
0x0AFE	0x01C0      	CLRF       FARG_ADC_Read_channel
0x0AFF	0x118A      	BCF        PCLATH, 3
0x0B00	0x27C9      	CALL       _ADC_Read
0x0B01	0x158A      	BSF        PCLATH, 3
0x0B02	0x0870      	MOVF       R0, 0
0x0B03	0x1283      	BCF        STATUS, 5
0x0B04	0x00C5      	MOVWF      _temperature
0x0B05	0x0871      	MOVF       R0+1, 0
0x0B06	0x00C6      	MOVWF      _temperature+1
;MicroAlzaiemer.c,94 :: 		mV= temperature*5000.0/1024.0;
0x0B07	0x21AE      	CALL       _word2double
0x0B08	0x3000      	MOVLW      0
0x0B09	0x00F4      	MOVWF      R4
0x0B0A	0x3040      	MOVLW      64
0x0B0B	0x00F5      	MOVWF      R4+1
0x0B0C	0x301C      	MOVLW      28
0x0B0D	0x00F6      	MOVWF      R4+2
0x0B0E	0x308B      	MOVLW      139
0x0B0F	0x00F7      	MOVWF      R4+3
0x0B10	0x118A      	BCF        PCLATH, 3
0x0B11	0x23CC      	CALL       _Mul_32x32_FP
0x0B12	0x158A      	BSF        PCLATH, 3
0x0B13	0x3000      	MOVLW      0
0x0B14	0x00F4      	MOVWF      R4
0x0B15	0x3000      	MOVLW      0
0x0B16	0x00F5      	MOVWF      R4+1
0x0B17	0x3000      	MOVLW      0
0x0B18	0x00F6      	MOVWF      R4+2
0x0B19	0x3089      	MOVLW      137
0x0B1A	0x00F7      	MOVWF      R4+3
0x0B1B	0x118A      	BCF        PCLATH, 3
0x0B1C	0x2712      	CALL       _Div_32x32_FP
0x0B1D	0x158A      	BSF        PCLATH, 3
0x0B1E	0x0870      	MOVF       R0, 0
0x0B1F	0x00EC      	MOVWF      _mV
0x0B20	0x0871      	MOVF       R0+1, 0
0x0B21	0x00ED      	MOVWF      _mV+1
0x0B22	0x0872      	MOVF       R0+2, 0
0x0B23	0x00EE      	MOVWF      _mV+2
0x0B24	0x0873      	MOVF       R0+3, 0
0x0B25	0x00EF      	MOVWF      _mV+3
;MicroAlzaiemer.c,96 :: 		mV=mV/10.0;
0x0B26	0x3000      	MOVLW      0
0x0B27	0x00F4      	MOVWF      R4
0x0B28	0x3000      	MOVLW      0
0x0B29	0x00F5      	MOVWF      R4+1
0x0B2A	0x3020      	MOVLW      32
0x0B2B	0x00F6      	MOVWF      R4+2
0x0B2C	0x3082      	MOVLW      130
0x0B2D	0x00F7      	MOVWF      R4+3
0x0B2E	0x118A      	BCF        PCLATH, 3
0x0B2F	0x2712      	CALL       _Div_32x32_FP
0x0B30	0x158A      	BSF        PCLATH, 3
0x0B31	0x0870      	MOVF       R0, 0
0x0B32	0x00EC      	MOVWF      _mV
0x0B33	0x0871      	MOVF       R0+1, 0
0x0B34	0x00ED      	MOVWF      _mV+1
0x0B35	0x0872      	MOVF       R0+2, 0
0x0B36	0x00EE      	MOVWF      _mV+2
0x0B37	0x0873      	MOVF       R0+3, 0
0x0B38	0x00EF      	MOVWF      _mV+3
;MicroAlzaiemer.c,99 :: 		if (mv <= 9)
0x0B39	0x0870      	MOVF       R0, 0
0x0B3A	0x00F4      	MOVWF      R4
0x0B3B	0x0871      	MOVF       R0+1, 0
0x0B3C	0x00F5      	MOVWF      R4+1
0x0B3D	0x0872      	MOVF       R0+2, 0
0x0B3E	0x00F6      	MOVWF      R4+2
0x0B3F	0x0873      	MOVF       R0+3, 0
0x0B40	0x00F7      	MOVWF      R4+3
0x0B41	0x3000      	MOVLW      0
0x0B42	0x00F0      	MOVWF      R0
0x0B43	0x3000      	MOVLW      0
0x0B44	0x00F1      	MOVWF      R0+1
0x0B45	0x3010      	MOVLW      16
0x0B46	0x00F2      	MOVWF      R0+2
0x0B47	0x3082      	MOVLW      130
0x0B48	0x00F3      	MOVWF      R0+3
0x0B49	0x118A      	BCF        PCLATH, 3
0x0B4A	0x21BD      	CALL       _Compare_Double
0x0B4B	0x158A      	BSF        PCLATH, 3
0x0B4C	0x3001      	MOVLW      1
0x0B4D	0x1C03      	BTFSS      STATUS, 0
0x0B4E	0x3000      	MOVLW      0
0x0B4F	0x00F0      	MOVWF      R0
0x0B50	0x0870      	MOVF       R0, 0
0x0B51	0x1903      	BTFSC      STATUS, 2
0x0B52	0x2BC1      	GOTO       L_main7
;MicroAlzaiemer.c,101 :: 		test1=0;
0x0B53	0x1683      	BSF        STATUS, 5
0x0B54	0x01B7      	CLRF       _test1
0x0B55	0x01B8      	CLRF       _test1+1
;MicroAlzaiemer.c,102 :: 		while (test1 ==0)
L_main8:
0x0B56	0x3000      	MOVLW      0
0x0B57	0x0638      	XORWF      _test1+1, 0
0x0B58	0x1D03      	BTFSS      STATUS, 2
0x0B59	0x2B5C      	GOTO       L__main87
0x0B5A	0x3000      	MOVLW      0
0x0B5B	0x0637      	XORWF      _test1, 0
L__main87:
0x0B5C	0x1D03      	BTFSS      STATUS, 2
0x0B5D	0x2B95      	GOTO       L_main9
;MicroAlzaiemer.c,104 :: 		porta.ra2=1;
0x0B5E	0x1283      	BCF        STATUS, 5
0x0B5F	0x1505      	BSF        PORTA, 2
;MicroAlzaiemer.c,105 :: 		delay_ms(500);
0x0B60	0x3006      	MOVLW      6
0x0B61	0x00FB      	MOVWF      R11
0x0B62	0x3013      	MOVLW      19
0x0B63	0x00FC      	MOVWF      R12
0x0B64	0x30AD      	MOVLW      173
